target_fractal_dimension,actual_fractal_dimension,fractal_fit_r_squared,rms_acceleration_ms2,rms_force_N,rms_stress_Pa,peak_frequency_Hz,total_vibration_energy,total_stress_energy,fatigue_damage_per_mission,missions_to_failure,terrain_wavelength_m,stress_cycles
2.05,2.2940056206251667,0.9973382577019402,22.110884832373035,92745.0933428726,802625.1194151414,0.1875,0.18627907566025964,8092428703.70784,6.404554570936838e-14,15613888349673.68,6.385205418762643,7830.601636257029
2.2,2.351304666347109,0.9976553518685569,14.63202011045351,67499.78781752325,531142.3300094624,0.1875,0.08999945785054451,3521720888.2972245,8.581977624996812e-14,11652325882175.34,4.27545419418235,11694.663941911824
2.35,2.468295643781622,0.9971343037652808,11.551207274061266,43684.283480101185,419308.8240484239,0.1875,0.0603020388476983,2200178976.126648,8.390385354587029e-12,119184037173.37004,1.8850484037585535,26524.51783217141
2.5,2.5193208354277243,0.9976896294012375,12.790314991123159,45434.74586540332,464288.43417777057,0.375,0.07109819356713368,2721096834.531694,7.98742110112858e-11,12519685482.197819,1.318872437367639,37911.172137159745
